system:index,AirTemp,Albedo,BuildingDensity,Humidity,LST,Latitude,Longitude,NDBI,NDVI,NDWI,WindSpeed,.geo
2119,34.7387632475959,0.17467272727272729,0.7037037037037037,28.021405919646362,47.731971740000006,28.531840896562183,77.02200161804984,0.03437911,0.23084292,-0.29471034,1.3054119642079682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02200161804984,28.531840896562183]}"
2120,34.7387632475959,0.17467272727272729,0.6049382716049383,28.021405919646362,47.465366180000046,28.531840896562183,77.02289993333396,-0.040087864,0.41979012,-0.427997,1.3054119642079682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02289993333396,28.531840896562183]}"
2121,34.39160748587716,0.13318181818181818,0.037037037037037035,28.679895798685223,41.11810304000005,28.531840896562183,77.17291858578191,-0.11438224,0.5968188,-0.5643631,1.2440626987440144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17291858578191,28.531840896562183]}"
2122,34.35183426539106,0.16066666666666665,0.2345679012345679,29.551186784535414,41.066832739999995,28.531840896562183,77.32293723822987,-0.13980198,0.47005492,-0.47798178,1.1813635439237051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32293723822987,28.531840896562183]}"
2123,34.8175379329258,0.17861666666666667,0.07407407407407407,27.784183144853873,52.474474490000034,28.5327392118463,76.7947278511676,0.13996737,0.12649573,-0.24105461,1.323587466710647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7947278511676,28.5327392118463]}"
2124,34.88817866643274,0.17091071428571428,0.0,27.675319319385316,51.238860260000024,28.5327392118463,76.87198296560187,0.12798767,0.23202614,-0.3274648,1.3348666379187226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.87198296560187,28.5327392118463]}"
2125,34.88817866643274,0.17085714285714287,0.024691358024691357,27.675319319385316,50.36042912000005,28.5327392118463,76.87647454202248,0.1960403,0.10495627,-0.21409504,1.3348666379187226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.87647454202248,28.5327392118463]}"
2126,34.7387632475959,0.179140350877193,0.0,28.021405919646362,44.607901459999994,28.5327392118463,77.00134036651508,0.015801355,0.27547538,-0.29312903,1.3054119642079682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00134036651508,28.5327392118463]}"
2127,34.7387632475959,0.17523636363636366,0.691358024691358,28.021405919646362,47.714881640000044,28.5327392118463,77.02110330276572,0.03820225,0.27602485,-0.361251,1.3054119642079682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02110330276572,28.5327392118463]}"
2128,34.39160748587716,0.13819642857142858,0.037037037037037035,28.679895798685223,43.54489724000001,28.5327392118463,77.17291858578191,0.08245472,0.36992937,-0.4335797,1.2440626987440144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17291858578191,28.5327392118463]}"
2129,34.35183426539106,0.16066666666666665,0.19753086419753085,29.551186784535414,42.83736710000005,28.5327392118463,77.32203892294575,-0.15716411,0.52568966,-0.52012503,1.1813635439237051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32203892294575,28.5327392118463]}"
2130,34.8175379329258,0.18124137931034484,0.08641975308641975,27.784183144853873,52.40782310000003,28.533637527130423,76.7947278511676,0.12291598,0.12920876,-0.23811722,1.323587466710647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7947278511676,28.533637527130423]}"
2131,34.88817866643274,0.17260714285714288,0.0,27.675319319385316,52.21641398000003,28.533637527130423,76.87108465031775,0.15492386,0.16030109,-0.26581508,1.3348666379187226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.87108465031775,28.533637527130423]}"
2132,34.88817866643274,0.16658928571428572,0.0,27.675319319385316,51.31063868000001,28.533637527130423,76.87647454202248,0.19848567,0.112891115,-0.21641587,1.3348666379187226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.87647454202248,28.533637527130423]}"
2133,34.7387632475959,0.17740350877192984,0.0,28.021405919646362,47.63968520000003,28.533637527130423,76.99954373594684,0.0029452797,0.3137255,-0.36676583,1.3054119642079682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99954373594684,28.533637527130423]}"
2134,34.7387632475959,0.17740350877192984,0.0,28.021405919646362,45.33252170000003,28.533637527130423,77.00044205123096,-0.0771831,0.40519354,-0.43687373,1.3054119642079682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00044205123096,28.533637527130423]}"
