NDVI,NDBI,NDWI,AirTemp,Humidity,WindSpeed,Albedo,BuildingDensity
-0.3250256,1.9369944,0.54066813,1.6927853,0.1446741,0.06896756,-0.6201652,0.08422688
-0.76704395,1.8870275,0.5653896,1.7528828,0.20451036,0.07389911,-0.52795935,0.07667463
0.54109764,1.9828024,-0.041943014,1.3081329,-0.0022020095,0.42278355,-0.32120934,0.043399945
0.7127049,1.5861503,-0.6031882,1.410085,-0.011804663,0.41898036,-0.23964497,0.017086374
-0.359066,1.5053082,0.3588776,1.6168169,0.16820471,0.19502147,-1.1732719,-0.046079494
-1.55113,1.5771427,0.7654412,1.7269807,0.551426,0.09143857,-0.45803407,0.07387283
-0.87411654,-1.444557,0.9307507,1.7978425,0.57704264,0.14962378,-0.3003153,0.09289707
-0.92472243,-2.204431,1.1651027,2.1791675,0.79055977,0.09792643,-0.086668715,0.108196564
0.29356378,1.9357265,0.34071377,1.3920072,0.009649202,0.46106985,-0.28106934,0.077557445
-0.4769348,1.4966925,0.42685452,1.5684493,0.08020879,0.5373835,-0.20579888,0.12705009
-0.029453238,1.7664256,0.30528352,1.327311,-0.004986876,0.4584332,-0.34737292,0.050768197
-1.4872639,1.5125874,0.6012627,1.7450284,0.21631181,0.20287527,-1.1708428,-0.099410735
-0.05644498,1.965533,0.5112165,1.6548197,0.13691999,0.085201554,-0.61569947,0.102125324
-0.5841211,1.5892775,0.74883944,1.4693781,0.07575062,0.050620798,-0.07075025,0.09188363
-0.95274574,-0.8499893,1.0575686,0.81179833,0.04475353,0.47454712,0.82780886,0.075679906
-0.28691545,0.22757809,0.9262742,0.85927004,0.10940622,0.291445,0.713303,0.17182721
-0.056667868,1.7162396,0.3798226,0.5892537,0.1592449,0.085109614,-0.63089514,0.042648938
-0.9594867,-2.8305347,0.9313543,1.0935487,0.1250696,0.034164086,0.30877835,-0.0025941778
-0.99976355,-1.7521996,0.9089521,0.8256636,-0.049493987,0.04292271,0.18687804,0.03184012
-1.1409935,-2.5069058,1.0347571,1.188422,0.26627675,0.28542718,0.70805603,0.08370394
-1.0999212,-2.8176973,0.91039634,1.3206493,0.33817127,0.25458264,0.88186544,0.11104407
0.12141312,1.942685,0.39340508,0.6158748,0.079336174,0.115385726,-0.6283664,0.070365
-1.1320217,-1.1752933,0.89291555,0.7135068,-0.07514573,0.10768649,0.16916268,-0.015575429
-1.1501309,-0.60952824,0.7924174,0.7834872,-0.02671591,0.08523778,0.14744556,0.06590003
-0.76372623,0.76298165,0.94468266,0.58825195,0.19399445,0.10788137,0.41039792,0.19350699
-0.87514794,0.48195857,0.8336854,0.63742113,0.25879773,0.1418495,0.32018697,0.223764
-0.98271626,-1.3886967,0.9955533,0.8205976,0.16097108,0.41257426,0.7328981,0.08996115
0.018543476,1.8606861,0.4806779,0.64575845,0.14399478,0.10679023,-0.58989525,0.08540277
-0.7622676,1.313846,0.84260595,0.35239005,-0.10393084,0.011644972,0.3816274,0.039147567
-0.60539025,-0.1315688,0.8714003,0.74633247,-0.08350925,0.04097196,0.15122952,0.15340658
0.19975322,1.9266456,0.2357728,0.27268666,0.006121325,0.092183225,0.17759883,0.02896114
-0.58752406,0.04569124,0.8673019,0.833832,0.062332384,0.17948014,0.3318071,0.15952599
0.021920575,1.9029567,0.49413633,0.89969265,0.14845546,0.11074843,-0.61153585,0.1176264
-1.1719077,-3.8508172,0.87444717,0.75718176,1.4632161,0.07858846,0.5408305,0.026130753
-0.00043299486,1.8971993,0.5817853,0.46588388,-0.071204945,0.06877409,-0.049757656,0.008271367
-0.9840464,0.2776659,0.3798169,0.53781575,0.08756231,-0.100499816,0.21612073,-0.41220123
-0.82785565,-0.1515489,0.7661396,0.8112935,0.019011194,-0.08332105,0.28370377,-0.17408715
0.01399768,1.8429705,0.41043872,0.8970608,0.1867358,0.10990919,-0.607855,0.12036174
-0.12526502,1.8398664,0.57702583,0.47843555,-0.026223885,0.07694587,-0.06801254,-0.020500336
-0.042820796,1.6914065,0.5581621,0.5369498,-0.01718138,0.093594894,-0.12036591,0.023591934
-0.999893,-0.22527663,0.8075937,0.929113,-0.026122387,0.07310036,0.17066436,-0.018644031
0.023857722,1.7677782,0.3297783,0.4103392,-0.02025651,0.017260969,-0.42571554,-0.2146089
0.1336465,0.1302129,-0.01604704,0.819023,0.015543621,-0.013057556,-0.38552096,-0.22233953
0.16287278,-0.3267468,-0.65145725,0.83283037,-0.13148408,0.04343025,-0.30825755,-0.3171279
-0.052738905,1.7554469,0.33145228,0.8261067,0.20465104,0.09178035,-0.8092648,0.044487286
-1.0164063,-2.9298205,0.8851281,1.2060053,0.23998898,0.15640071,0.9216647,0.042138703
-0.8477063,-1.4977801,1.080168,0.8672292,-0.036009595,0.22137219,1.0472136,0.00035147546
-0.26253054,-0.5506919,-0.122825064,0.9095567,0.08927853,0.19016558,0.04274716,-0.21416458
0.010874142,-0.41676235,-0.5001486,0.81885946,0.087844655,-0.020913657,-0.1512362,-0.09217291
-0.61541986,1.6068369,0.35170093,0.7374504,0.2517781,0.100771934,-0.8110458,0.07805206
